model,seed,point,recall,precision,false_positive_rate
financial_only,17,216,1.0,0.05092592592592592,1.0
financial_only,42,0,0.0,1.0,0.0
financial_only,42,1,0.09090909090909091,1.0,0.0
financial_only,42,2,0.09090909090909091,0.5,0.004878048780487805
financial_only,42,3,0.18181818181818182,0.6666666666666666,0.004878048780487805
financial_only,42,4,0.18181818181818182,0.5,0.00975609756097561
financial_only,42,5,0.2727272727272727,0.6,0.00975609756097561
financial_only,42,6,0.2727272727272727,0.5,0.014634146341463415
financial_only,42,7,0.2727272727272727,0.42857142857142855,0.01951219512195122
financial_only,42,8,0.36363636363636365,0.5,0.01951219512195122
financial_only,42,9,0.36363636363636365,0.4444444444444444,0.024390243902439025
financial_only,42,10,0.36363636363636365,0.4,0.02926829268292683
financial_only,42,11,0.36363636363636365,0.36363636363636365,0.03414634146341464
financial_only,42,12,0.36363636363636365,0.3333333333333333,0.03902439024390244
financial_only,42,13,0.36363636363636365,0.3076923076923077,0.04390243902439024
financial_only,42,14,0.36363636363636365,0.2857142857142857,0.04878048780487805
financial_only,42,15,0.36363636363636365,0.26666666666666666,0.05365853658536585
financial_only,42,16,0.36363636363636365,0.25,0.05853658536585366
financial_only,42,17,0.36363636363636365,0.23529411764705882,0.06341463414634146
financial_only,42,18,0.36363636363636365,0.2222222222222222,0.06829268292682927
financial_only,42,19,0.36363636363636365,0.21052631578947367,0.07317073170731707
financial_only,42,20,0.36363636363636365,0.2,0.07804878048780488
financial_only,42,21,0.36363636363636365,0.19047619047619047,0.08292682926829269
financial_only,42,22,0.36363636363636365,0.18181818181818182,0.08780487804878048
financial_only,42,23,0.36363636363636365,0.17391304347826086,0.09268292682926829
financial_only,42,24,0.36363636363636365,0.16666666666666666,0.0975609756097561
financial_only,42,25,0.36363636363636365,0.16,0.1024390243902439
financial_only,42,26,0.36363636363636365,0.15384615384615385,0.1073170731707317
financial_only,42,27,0.45454545454545453,0.18518518518518517,0.1073170731707317
financial_only,42,28,0.5454545454545454,0.21428571428571427,0.1073170731707317
financial_only,42,29,0.5454545454545454,0.20689655172413793,0.11219512195121951
financial_only,42,30,0.5454545454545454,0.2,0.11707317073170732
financial_only,42,31,0.6363636363636364,0.22580645161290322,0.11707317073170732
financial_only,42,32,0.6363636363636364,0.21875,0.12195121951219512
financial_only,42,33,0.6363636363636364,0.21212121212121213,0.12682926829268293
financial_only,42,34,0.6363636363636364,0.20588235294117646,0.13170731707317074
financial_only,42,35,0.7272727272727273,0.22857142857142856,0.13170731707317074
financial_only,42,36,0.7272727272727273,0.2222222222222222,0.13658536585365855
financial_only,42,37,0.7272727272727273,0.21621621621621623,0.14146341463414633
financial_only,42,38,0.7272727272727273,0.21052631578947367,0.14634146341463414
financial_only,42,39,0.7272727272727273,0.20512820512820512,0.15121951219512195
financial_only,42,40,0.7272727272727273,0.2,0.15609756097560976
financial_only,42,41,0.8181818181818182,0.21951219512195122,0.15609756097560976
financial_only,42,42,0.8181818181818182,0.21428571428571427,0.16097560975609757
financial_only,42,43,0.8181818181818182,0.20930232558139536,0.16585365853658537
financial_only,42,44,0.8181818181818182,0.20454545454545456,0.17073170731707318
financial_only,42,45,0.8181818181818182,0.2,0.17560975609756097
financial_only,42,46,0.8181818181818182,0.1956521739130435,0.18048780487804877
financial_only,42,47,0.8181818181818182,0.19148936170212766,0.18536585365853658
financial_only,42,48,0.8181818181818182,0.1875,0.1902439024390244
financial_only,42,49,0.9090909090909091,0.20408163265306123,0.1902439024390244
financial_only,42,50,0.9090909090909091,0.2,0.1951219512195122
financial_only,42,51,0.9090909090909091,0.19607843137254902,0.2
financial_only,42,52,0.9090909090909091,0.19230769230769232,0.2048780487804878
financial_only,42,53,0.9090909090909091,0.18867924528301888,0.2097560975609756
financial_only,42,54,0.9090909090909091,0.18518518518518517,0.2146341463414634
financial_only,42,55,0.9090909090909091,0.18181818181818182,0.21951219512195122
financial_only,42,56,0.9090909090909091,0.17857142857142858,0.22439024390243903
financial_only,42,57,0.9090909090909091,0.17543859649122806,0.22926829268292684
financial_only,42,58,0.9090909090909091,0.1724137931034483,0.23414634146341465
financial_only,42,59,0.9090909090909091,0.1694915254237288,0.23902439024390243
financial_only,42,60,0.9090909090909091,0.16666666666666666,0.24390243902439024
financial_only,42,61,0.9090909090909091,0.16393442622950818,0.24878048780487805
financial_only,42,62,0.9090909090909091,0.16129032258064516,0.25365853658536586
financial_only,42,63,0.9090909090909091,0.15873015873015872,0.25853658536585367
financial_only,42,64,0.9090909090909091,0.15625,0.2634146341463415
financial_only,42,65,0.9090909090909091,0.15384615384615385,0.2682926829268293
financial_only,42,66,0.9090909090909091,0.15151515151515152,0.2731707317073171
financial_only,42,67,0.9090909090909091,0.14925373134328357,0.2780487804878049
financial_only,42,68,0.9090909090909091,0.14705882352941177,0.28292682926829266
financial_only,42,69,0.9090909090909091,0.14492753623188406,0.28780487804878047
financial_only,42,70,0.9090909090909091,0.14285714285714285,0.2926829268292683
financial_only,42,71,0.9090909090909091,0.14084507042253522,0.2975609756097561
financial_only,42,72,0.9090909090909091,0.1388888888888889,0.3024390243902439
financial_only,42,73,0.9090909090909091,0.136986301369863,0.3073170731707317
financial_only,42,74,0.9090909090909091,0.13513513513513514,0.3121951219512195
financial_only,42,75,0.9090909090909091,0.13333333333333333,0.3170731707317073
financial_only,42,76,0.9090909090909091,0.13157894736842105,0.32195121951219513
